"ID";"Name";"NumberOfPersons";"global_id";"Year";"Month";"ID_en";"Name_en";"NumberOfPersons_en";"Year_en";"Month_en";
"Код";"Имя";"Количество человек";"global_id";"Год";"Месяц";"ID_en";"Name_en";"NumberOfPersons_en";"Year_en";"Month_en";
"1";"Мария";"252";"37750254";"2015";"январь";"";"";"";"";"";
"2";"Анастасия";"224";"37750255";"2015";"январь";"";"";"";"";"";
"3";"Анна";"190";"37750256";"2015";"январь";"";"";"";"";"";
"4";"Варвара";"190";"37750257";"2015";"январь";"";"";"";"";"";
"5";"Виктория";"186";"37750258";"2015";"январь";"";"";"";"";"";
"483";"Амелия";"8";"62367755";"2015";"май";"";"";"";"";"";
"484";"Камила";"8";"62367756";"2015";"май";"";"";"";"";"";
"485";"Евангелина";"8";"62367757";"2015";"май";"";"";"";"";"";
"486";"Альбина";"8";"62367758";"2015";"май";"";"";"";"";"";
"487";"Владислава";"8";"62367759";"2015";"май";"";"";"";"";"";
"488";"Айлин";"8";"62367760";"2015";"май";"";"";"";"";"";
"489";"Евдокия";"7";"62367761";"2015";"май";"";"";"";"";"";
"490";"Марьям";"7";"62367762";"2015";"май";"";"";"";"";"";
"491";"Лейла";"7";"62367763";"2015";"май";"";"";"";"";"";
"492";"Мелисса";"7";"62367764";"2015";"май";"";"";"";"";"";
"493";"Амира";"7";"62367765";"2015";"май";"";"";"";"";"";
"494";"Оливия";"7";"62367766";"2015";"май";"";"";"";"";"";
"495";"Виталина";"7";"62367767";"2015";"май";"";"";"";"";"";
"496";"Станислава";"6";"62367768";"2015";"май";"";"";"";"";"";
"497";"Марьяна";"6";"62367769";"2015";"май";"";"";"";"";"";
"498";"Фатима";"6";"62367770";"2015";"май";"";"";"";"";"";
"499";"Влада";"6";"62367771";"2015";"май";"";"";"";"";"";
"500";"Дана";"6";"62367772";"2015";"май";"";"";"";"";"";
"501";"Мария";"271";"62367773";"2015";"июнь";"";"";"";"";"";
"502";"Анастасия";"242";"62367774";"2015";"июнь";"";"";"";"";"";
"503";"Виктория";"226";"62367775";"2015";"июнь";"";"";"";"";"";
"504";"София";"217";"62367776";"2015";"июнь";"";"";"";"";"";
"505";"Анна";"216";"62367777";"2015";"июнь";"";"";"";"";"";
"506";"Елизавета";"214";"62367778";"2015";"июнь";"";"";"";"";"";
"507";"Алиса";"191";"62367779";"2015";"июнь";"";"";"";"";"";
"508";"Дарья";"189";"62367780";"2015";"июнь";"";"";"";"";"";
"509";"Александра";"182";"62367781";"2015";"июнь";"";"";"";"";"";
"510";"Полина";"161";"62367782";"2015";"июнь";"";"";"";"";"";
"511";"Ксения";"157";"62367783";"2015";"июнь";"";"";"";"";"";
"512";"Варвара";"155";"62367784";"2015";"июнь";"";"";"";"";"";
"513";"Валерия";"149";"62367785";"2015";"июнь";"";"";"";"";"";
"514";"Екатерина";"141";"62367786";"2015";"июнь";"";"";"";"";"";
"515";"Арина";"134";"62367787";"2015";"июнь";"";"";"";"";"";
"516";"Вероника";"118";"62367789";"2015";"июнь";"";"";"";"";"";
"517";"Софья";"110";"62367790";"2015";"июнь";"";"";"";"";"";
"518";"Василиса";"108";"62367791";"2015";"июнь";"";"";"";"";"";
"519";"Милана";"103";"62367792";"2015";"июнь";"";"";"";"";"";
"520";"Ульяна";"101";"62367794";"2015";"июнь";"";"";"";"";"";
"521";"Ева";"99";"62367795";"2015";"июнь";"";"";"";"";"";
"522";"Кира";"86";"62367796";"2015";"июнь";"";"";"";"";"";
"523";"Вера";"67";"62367797";"2015";"июнь";"";"";"";"";"";
"524";"Маргарита";"66";"62367798";"2015";"июнь";"";"";"";"";"";
"525";"Таисия";"65";"62367800";"2015";"июнь";"";"";"";"";"";
"526";"Алёна";"62";"62367801";"2015";"июнь";"";"";"";"";"";
"527";"Кристина";"62";"62367802";"2015";"июнь";"";"";"";"";"";
"528";"Алина";"59";"62367803";"2015";"июнь";"";"";"";"";"";
"529";"Юлия";"53";"62367804";"2015";"июнь";"";"";"";"";"";
"530";"Елена";"46";"62367805";"2015";"июнь";"";"";"";"";"";
"531";"Диана";"45";"62367806";"2015";"июнь";"";"";"";"";"";
"532";"Амина";"44";"62367807";"2015";"июнь";"";"";"";"";"";
"533";"Ольга";"43";"62367808";"2015";"июнь";"";"";"";"";"";
"534";"Стефания";"42";"62367809";"2015";"июнь";"";"";"";"";"";
"535";"Евгения";"36";"62367810";"2015";"июнь";"";"";"";"";"";
"536";"Майя";"34";"62367811";"2015";"июнь";"";"";"";"";"";
"537";"Ангелина";"32";"62367812";"2015";"июнь";"";"";"";"";"";
"538";"Надежда";"30";"62367813";"2015";"июнь";"";"";"";"";"";
"539";"Яна";"29";"62367814";"2015";"июнь";"";"";"";"";"";
"540";"Марина";"29";"62367815";"2015";"июнь";"";"";"";"";"";
"541";"Есения";"28";"62367816";"2015";"июнь";"";"";"";"";"";
"542";"Татьяна";"27";"62367817";"2015";"июнь";"";"";"";"";"";
"543";"Эмилия";"27";"62367818";"2015";"июнь";"";"";"";"";"";
"544";"Мирослава";"26";"62367819";"2015";"июнь";"";"";"";"";"";
"545";"Элина";"26";"62367820";"2015";"июнь";"";"";"";"";"";
"546";"Злата";"26";"62367821";"2015";"июнь";"";"";"";"";"";
"547";"Агата";"25";"62367822";"2015";"июнь";"";"";"";"";"";
"548";"Ирина";"23";"62367823";"2015";"июнь";"";"";"";"";"";
"549";"Ярослава";"23";"62367824";"2015";"июнь";"";"";"";"";"";
"550";"Сафия";"23";"62367825";"2015";"июнь";"";"";"";"";"";
"551";"Аделина";"22";"62367826";"2015";"июнь";"";"";"";"";"";
"552";"Марьям";"20";"62367827";"2015";"июнь";"";"";"";"";"";
"553";"Евдокия";"18";"62367828";"2015";"июнь";"";"";"";"";"";
"554";"Антонина";"18";"62367829";"2015";"июнь";"";"";"";"";"";
"555";"Ясмина";"17";"62367830";"2015";"июнь";"";"";"";"";"";
"556";"Любовь";"17";"62367831";"2015";"июнь";"";"";"";"";"";
"557";"Нина";"17";"62367832";"2015";"июнь";"";"";"";"";"";
"558";"Олеся";"16";"62367834";"2015";"июнь";"";"";"";"";"";
"559";"Светлана";"16";"62367835";"2015";"июнь";"";"";"";"";"";
"560";"Ника";"16";"62367836";"2015";"июнь";"";"";"";"";"";
"561";"Николь";"16";"62367837";"2015";"июнь";"";"";"";"";"";
"562";"Карина";"15";"62367838";"2015";"июнь";"";"";"";"";"";
"563";"Алия";"15";"62367839";"2015";"июнь";"";"";"";"";"";
"564";"Лидия";"14";"62367840";"2015";"июнь";"";"";"";"";"";
"565";"Дарина";"13";"62367841";"2015";"июнь";"";"";"";"";"";
"566";"Милена";"13";"62367842";"2015";"июнь";"";"";"";"";"";
"567";"Лилия";"13";"62367843";"2015";"июнь";"";"";"";"";"";
"568";"Марьяна";"12";"62367844";"2015";"июнь";"";"";"";"";"";
"569";"Лейла";"12";"62367845";"2015";"июнь";"";"";"";"";"";
"570";"Мила";"12";"62367846";"2015";"июнь";"";"";"";"";"";
"571";"Камилла";"11";"62367847";"2015";"июнь";"";"";"";"";"";
"572";"Камила";"11";"62367848";"2015";"июнь";"";"";"";"";"";
"573";"Зоя";"11";"62367849";"2015";"июнь";"";"";"";"";"";
"574";"Амелия";"11";"62367850";"2015";"июнь";"";"";"";"";"";
"575";"Фатима";"11";"62367851";"2015";"июнь";"";"";"";"";"";
"576";"Амалия";"11";"62367852";"2015";"июнь";"";"";"";"";"";
"577";"Ариана";"10";"62367853";"2015";"июнь";"";"";"";"";"";
"578";"Марианна";"10";"62367854";"2015";"июнь";"";"";"";"";"";
"579";"Виолетта";"10";"62367855";"2015";"июнь";"";"";"";"";"";
"580";"Каролина";"10";"62367857";"2015";"июнь";"";"";"";"";"";
"581";"Альбина";"9";"62367858";"2015";"июнь";"";"";"";"";"";
"582";"Аиша";"9";"62367859";"2015";"июнь";"";"";"";"";"";
"583";"Марта";"9";"62367860";"2015";"июнь";"";"";"";"";"";
"584";"Амира";"9";"62367861";"2015";"июнь";"";"";"";"";"";
"585";"Аглая";"9";"62367862";"2015";"июнь";"";"";"";"";"";
"586";"Самира";"9";"62367863";"2015";"июнь";"";"";"";"";"";
"587";"Эмма";"9";"62367864";"2015";"июнь";"";"";"";"";"";
"588";"Малика";"8";"62367865";"2015";"июнь";"";"";"";"";"";
"589";"Раяна";"8";"62367866";"2015";"июнь";"";"";"";"";"";
"590";"Эвелина";"8";"62367867";"2015";"июнь";"";"";"";"";"";
